index,title,doi,pdf_url,source
1,Ask Me Anything: A simple strategy for prompting language models,,https://arxiv.org/pdf/2210.02441v3,arXiv:2210.02441v3
2,UNDERSTANDING HTML WITH LARGE LANGUAGE MODELS,,https://arxiv.org/pdf/2210.03945v2,arXiv:2210.03945v2
3,Learning Entailment-Based Sentence Embeddings from Natural Language Inference,10.7717/peerj-cs.2957,,
4,ThinkSum: Probabilistic reasoning over sets using large language models,,https://arxiv.org/pdf/2210.01293v2,arXiv:2210.01293v2
5,MVP: Multi-task Supervised Pre-training for Natural Language Generation,,https://arxiv.org/pdf/2206.12131v3,arXiv:2206.12131v3
6,LAMOL: LAnguage MOdeling for Lifelong Language Learning,,https://arxiv.org/pdf/1909.03329v2,arXiv:1909.03329v2
7,Contextualized Generative Retrieval,10.6028/nist.sp.500-324.car-mpiid5,,
8,Task Ambiguity in Humans and Language Models,,https://arxiv.org/pdf/2212.10711v1,arXiv:2212.10711v1
9,Scaling Laws for Neural Machine Translation,,https://arxiv.org/pdf/2109.07740v1,arXiv:2109.07740v1
10,UniDoc: Unified Pretraining Framework for Document Understanding,10.62891/d4deb13d,,
11,True Few-Shot Learning with Language Models,,https://arxiv.org/pdf/2105.11447v1,arXiv:2105.11447v1
12,Preserving Semantics in Textual Adversarial Attacks,,https://arxiv.org/pdf/2211.04205v2,arXiv:2211.04205v2
13,Learning by Distilling Context,,https://arxiv.org/pdf/2209.15189v1,arXiv:2209.15189v1
14,Downstream Datasets Make Surprisingly Good Pretraining Corpora,,https://arxiv.org/pdf/2209.14389v2,arXiv:2209.14389v2
15,DocPrompting: Generating Code by Retrieving the Docs,,https://arxiv.org/pdf/2207.05987v3,arXiv:2207.05987v3
16,Universal Sentence Representations Learning with Conditional Masked Language Model,,https://arxiv.org/pdf/2012.14388v3,arXiv:2012.14388v3
17,Evaluating Gender Bias in Natural Language Inference,,https://arxiv.org/pdf/2105.05541v1,arXiv:2105.05541v1
18,WebBrain: Learning to Generate Factually Correct Articles for Queries by Grounding on Large Web Corpus,,https://arxiv.org/pdf/2304.04358v1,arXiv:2304.04358v1
19,Generating Training Data with Language Models: Towards Zero-Shot Language Understanding,,https://arxiv.org/pdf/2202.04538v2,arXiv:2202.04538v2
20,Identifying the Limits of Cross-Domain Knowledge Transfer for Pretrained Models,,https://arxiv.org/pdf/2104.08410v1,arXiv:2104.08410v1
21,Contrastive Novelty Learning: Anticipating Outliers with Large Language Models,10.18653/v1/2023.acl-long.658,https://aclanthology.org/2023.acl-long.658.pdf,Unpaywall
22,K-PLUG: KNOWLEDGE-INJECTED PRE-TRAINED LANGUAGE MODEL FOR NATURAL LANGUAGE UNDERSTANDING AND GENERATION,,https://arxiv.org/pdf/2104.06960v2,arXiv:2104.06960v2
23,Later Span Adaptation for Language Understanding,10.2139/ssrn.4482536,,
24,Pre-trained Language Models can be Fully Zero-Shot Learners,,https://arxiv.org/pdf/2212.06950v2,arXiv:2212.06950v2
25,Representation and Bias in Multilingual NLP: Insights from Controlled Experiments on Conditional Language Modeling,10.18653/v1/2021.repl4nlp-1.4,https://aclanthology.org/2021.repl4nlp-1.4.pdf,Unpaywall
26,Closed Boundary Learning for NLP Classification Tasks with the Universum Class,10.18653/v1/2023.findings-emnlp.1038,https://aclanthology.org/2023.findings-emnlp.1038.pdf,Unpaywall
27,Improving Language Model Pretraining with Text Structure Information,10.18653/v1/2025.babylm-main.1,https://aclanthology.org/2025.babylm-main.1.pdf,Unpaywall
28,Unsupervised Neural Machine Translation with Generative Language Models Only,,https://arxiv.org/pdf/2110.05448v1,arXiv:2110.05448v1
29,Leveraging Large Language Models for Multiple Choice Question Answering,,https://arxiv.org/pdf/2210.12353v3,arXiv:2210.12353v3
30,Pretrained Language Model in Continual Learning: A Comparative Study,10.2196/preprints.34834,,
31,One Question Answering Model for Many Languages with Cross-lingual Dense Passage Retrieval,,https://arxiv.org/pdf/2107.11976v2,arXiv:2107.11976v2
32,Exploring extreme parameter compression for pre-trained language models,,https://arxiv.org/pdf/2205.10036v1,arXiv:2205.10036v1
