index,title,google_scholar_search_url,arxiv_search_url
1,Ask Me Anything: A simple strategy for prompting language models,https://scholar.google.com/scholar?q=Ask+Me+Anything%3A+A+simple+strategy+for+prompting+language+models,https://arxiv.org/search/?query=Ask+Me+Anything%3A+A+simple+strategy+for+prompting+language+models&searchtype=all
2,UNDERSTANDING HTML WITH LARGE LANGUAGE MODELS,https://scholar.google.com/scholar?q=UNDERSTANDING+HTML+WITH+LARGE+LANGUAGE+MODELS,https://arxiv.org/search/?query=UNDERSTANDING+HTML+WITH+LARGE+LANGUAGE+MODELS&searchtype=all
3,Learning Entailment-Based Sentence Embeddings from Natural Language Inference,https://scholar.google.com/scholar?q=Learning+Entailment-Based+Sentence+Embeddings+from+Natural+Language+Inference,https://arxiv.org/search/?query=Learning+Entailment-Based+Sentence+Embeddings+from+Natural+Language+Inference&searchtype=all
4,ThinkSum: Probabilistic reasoning over sets using large language models,https://scholar.google.com/scholar?q=ThinkSum%3A+Probabilistic+reasoning+over+sets+using+large+language+models,https://arxiv.org/search/?query=ThinkSum%3A+Probabilistic+reasoning+over+sets+using+large+language+models&searchtype=all
5,MVP: Multi-task Supervised Pre-training for Natural Language Generation,https://scholar.google.com/scholar?q=MVP%3A+Multi-task+Supervised+Pre-training+for+Natural+Language+Generation,https://arxiv.org/search/?query=MVP%3A+Multi-task+Supervised+Pre-training+for+Natural+Language+Generation&searchtype=all
6,LAMOL: LAnguage MOdeling for Lifelong Language Learning,https://scholar.google.com/scholar?q=LAMOL%3A+LAnguage+MOdeling+for+Lifelong+Language+Learning,https://arxiv.org/search/?query=LAMOL%3A+LAnguage+MOdeling+for+Lifelong+Language+Learning&searchtype=all
7,Contextualized Generative Retrieval,https://scholar.google.com/scholar?q=Contextualized+Generative+Retrieval,https://arxiv.org/search/?query=Contextualized+Generative+Retrieval&searchtype=all
8,Task Ambiguity in Humans and Language Models,https://scholar.google.com/scholar?q=Task+Ambiguity+in+Humans+and+Language+Models,https://arxiv.org/search/?query=Task+Ambiguity+in+Humans+and+Language+Models&searchtype=all
9,Scaling Laws for Neural Machine Translation,https://scholar.google.com/scholar?q=Scaling+Laws+for+Neural+Machine+Translation,https://arxiv.org/search/?query=Scaling+Laws+for+Neural+Machine+Translation&searchtype=all
10,UniDoc: Unified Pretraining Framework for Document Understanding,https://scholar.google.com/scholar?q=UniDoc%3A+Unified+Pretraining+Framework+for+Document+Understanding,https://arxiv.org/search/?query=UniDoc%3A+Unified+Pretraining+Framework+for+Document+Understanding&searchtype=all
11,True Few-Shot Learning with Language Models,https://scholar.google.com/scholar?q=True+Few-Shot+Learning+with+Language+Models,https://arxiv.org/search/?query=True+Few-Shot+Learning+with+Language+Models&searchtype=all
12,Preserving Semantics in Textual Adversarial Attacks,https://scholar.google.com/scholar?q=Preserving+Semantics+in+Textual+Adversarial+Attacks,https://arxiv.org/search/?query=Preserving+Semantics+in+Textual+Adversarial+Attacks&searchtype=all
13,Learning by Distilling Context,https://scholar.google.com/scholar?q=Learning+by+Distilling+Context,https://arxiv.org/search/?query=Learning+by+Distilling+Context&searchtype=all
14,Downstream Datasets Make Surprisingly Good Pretraining Corpora,https://scholar.google.com/scholar?q=Downstream+Datasets+Make+Surprisingly+Good+Pretraining+Corpora,https://arxiv.org/search/?query=Downstream+Datasets+Make+Surprisingly+Good+Pretraining+Corpora&searchtype=all
15,DocPrompting: Generating Code by Retrieving the Docs,https://scholar.google.com/scholar?q=DocPrompting%3A+Generating+Code+by+Retrieving+the+Docs,https://arxiv.org/search/?query=DocPrompting%3A+Generating+Code+by+Retrieving+the+Docs&searchtype=all
16,Universal Sentence Representations Learning with Conditional Masked Language Model,https://scholar.google.com/scholar?q=Universal+Sentence+Representations+Learning+with+Conditional+Masked+Language+Model,https://arxiv.org/search/?query=Universal+Sentence+Representations+Learning+with+Conditional+Masked+Language+Model&searchtype=all
17,Evaluating Gender Bias in Natural Language Inference,https://scholar.google.com/scholar?q=Evaluating+Gender+Bias+in+Natural+Language+Inference,https://arxiv.org/search/?query=Evaluating+Gender+Bias+in+Natural+Language+Inference&searchtype=all
18,WebBrain: Learning to Generate Factually Correct Articles for Queries by Grounding on Large Web Corpus,https://scholar.google.com/scholar?q=WebBrain%3A+Learning+to+Generate+Factually+Correct+Articles+for+Queries+by+Grounding+on+Large+Web+Corpus,https://arxiv.org/search/?query=WebBrain%3A+Learning+to+Generate+Factually+Correct+Articles+for+Queries+by+Grounding+on+Large+Web+Corpus&searchtype=all
19,Generating Training Data with Language Models: Towards Zero-Shot Language Understanding,https://scholar.google.com/scholar?q=Generating+Training+Data+with+Language+Models%3A+Towards+Zero-Shot+Language+Understanding,https://arxiv.org/search/?query=Generating+Training+Data+with+Language+Models%3A+Towards+Zero-Shot+Language+Understanding&searchtype=all
20,Identifying the Limits of Cross-Domain Knowledge Transfer for Pretrained Models,https://scholar.google.com/scholar?q=Identifying+the+Limits+of+Cross-Domain+Knowledge+Transfer+for+Pretrained+Models,https://arxiv.org/search/?query=Identifying+the+Limits+of+Cross-Domain+Knowledge+Transfer+for+Pretrained+Models&searchtype=all
21,Contrastive Novelty Learning: Anticipating Outliers with Large Language Models,https://scholar.google.com/scholar?q=Contrastive+Novelty+Learning%3A+Anticipating+Outliers+with+Large+Language+Models,https://arxiv.org/search/?query=Contrastive+Novelty+Learning%3A+Anticipating+Outliers+with+Large+Language+Models&searchtype=all
22,K-PLUG: KNOWLEDGE-INJECTED PRE-TRAINED LANGUAGE MODEL FOR NATURAL LANGUAGE UNDERSTANDING AND GENERATION,https://scholar.google.com/scholar?q=K-PLUG%3A+KNOWLEDGE-INJECTED+PRE-TRAINED+LANGUAGE+MODEL+FOR+NATURAL+LANGUAGE+UNDERSTANDING+AND+GENERATION,https://arxiv.org/search/?query=K-PLUG%3A+KNOWLEDGE-INJECTED+PRE-TRAINED+LANGUAGE+MODEL+FOR+NATURAL+LANGUAGE+UNDERSTANDING+AND+GENERATION&searchtype=all
23,Later Span Adaptation for Language Understanding,https://scholar.google.com/scholar?q=Later+Span+Adaptation+for+Language+Understanding,https://arxiv.org/search/?query=Later+Span+Adaptation+for+Language+Understanding&searchtype=all
24,Pre-trained Language Models can be Fully Zero-Shot Learners,https://scholar.google.com/scholar?q=Pre-trained+Language+Models+can+be+Fully+Zero-Shot+Learners,https://arxiv.org/search/?query=Pre-trained+Language+Models+can+be+Fully+Zero-Shot+Learners&searchtype=all
25,Representation and Bias in Multilingual NLP: Insights from Controlled Experiments on Conditional Language Modeling,https://scholar.google.com/scholar?q=Representation+and+Bias+in+Multilingual+NLP%3A+Insights+from+Controlled+Experiments+on+Conditional+Language+Modeling,https://arxiv.org/search/?query=Representation+and+Bias+in+Multilingual+NLP%3A+Insights+from+Controlled+Experiments+on+Conditional+Language+Modeling&searchtype=all
26,Closed Boundary Learning for NLP Classification Tasks with the Universum Class,https://scholar.google.com/scholar?q=Closed+Boundary+Learning+for+NLP+Classification+Tasks+with+the+Universum+Class,https://arxiv.org/search/?query=Closed+Boundary+Learning+for+NLP+Classification+Tasks+with+the+Universum+Class&searchtype=all
27,Improving Language Model Pretraining with Text Structure Information,https://scholar.google.com/scholar?q=Improving+Language+Model+Pretraining+with+Text+Structure+Information,https://arxiv.org/search/?query=Improving+Language+Model+Pretraining+with+Text+Structure+Information&searchtype=all
28,Unsupervised Neural Machine Translation with Generative Language Models Only,https://scholar.google.com/scholar?q=Unsupervised+Neural+Machine+Translation+with+Generative+Language+Models+Only,https://arxiv.org/search/?query=Unsupervised+Neural+Machine+Translation+with+Generative+Language+Models+Only&searchtype=all
29,Leveraging Large Language Models for Multiple Choice Question Answering,https://scholar.google.com/scholar?q=Leveraging+Large+Language+Models+for+Multiple+Choice+Question+Answering,https://arxiv.org/search/?query=Leveraging+Large+Language+Models+for+Multiple+Choice+Question+Answering&searchtype=all
30,Pretrained Language Model in Continual Learning: A Comparative Study,https://scholar.google.com/scholar?q=Pretrained+Language+Model+in+Continual+Learning%3A+A+Comparative+Study,https://arxiv.org/search/?query=Pretrained+Language+Model+in+Continual+Learning%3A+A+Comparative+Study&searchtype=all
31,One Question Answering Model for Many Languages with Cross-lingual Dense Passage Retrieval,https://scholar.google.com/scholar?q=One+Question+Answering+Model+for+Many+Languages+with+Cross-lingual+Dense+Passage+Retrieval,https://arxiv.org/search/?query=One+Question+Answering+Model+for+Many+Languages+with+Cross-lingual+Dense+Passage+Retrieval&searchtype=all
32,Exploring extreme parameter compression for pre-trained language models,https://scholar.google.com/scholar?q=Exploring+extreme+parameter+compression+for+pre-trained+language+models,https://arxiv.org/search/?query=Exploring+extreme+parameter+compression+for+pre-trained+language+models&searchtype=all
33,How Should Pre-Trained Language Models Be Fine-Tuned Towards Adversarial Robustness?,https://scholar.google.com/scholar?q=How+Should+Pre-Trained+Language+Models+Be+Fine-Tuned+Towards+Adversarial+Robustness%3F,https://arxiv.org/search/?query=How+Should+Pre-Trained+Language+Models+Be+Fine-Tuned+Towards+Adversarial+Robustness%3F&searchtype=all
34,On Robust Prefix-Tuning for Text Classification,https://scholar.google.com/scholar?q=On+Robust+Prefix-Tuning+for+Text+Classification,https://arxiv.org/search/?query=On+Robust+Prefix-Tuning+for+Text+Classification&searchtype=all
35,Forgetful causal masking makes causal language models better zero-shot learners,https://scholar.google.com/scholar?q=Forgetful+causal+masking+makes+causal+language+models+better+zero-shot+learners,https://arxiv.org/search/?query=Forgetful+causal+masking+makes+causal+language+models+better+zero-shot+learners&searchtype=all
36,LFPT5: A Unified Framework for Lifelong Few-shot Language Learning Based on Prompt Tuning of T5,https://scholar.google.com/scholar?q=LFPT5%3A+A+Unified+Framework+for+Lifelong+Few-shot+Language+Learning+Based+on+Prompt+Tuning+of+T5,https://arxiv.org/search/?query=LFPT5%3A+A+Unified+Framework+for+Lifelong+Few-shot+Language+Learning+Based+on+Prompt+Tuning+of+T5&searchtype=all
37,Data-Efficient Finetuning Using Cross-Task Nearest Neighbors,https://scholar.google.com/scholar?q=Data-Efficient+Finetuning+Using+Cross-Task+Nearest+Neighbors,https://arxiv.org/search/?query=Data-Efficient+Finetuning+Using+Cross-Task+Nearest+Neighbors&searchtype=all
38,No Parameters Left Behind: Sensitivity Guided Adaptive Learning Rate for Training Large Transformer Models,https://scholar.google.com/scholar?q=No+Parameters+Left+Behind%3A+Sensitivity+Guided+Adaptive+Learning+Rate+for+Training+Large+Transformer+Models,https://arxiv.org/search/?query=No+Parameters+Left+Behind%3A+Sensitivity+Guided+Adaptive+Learning+Rate+for+Training+Large+Transformer+Models&searchtype=all
39,How (Un)Fair is Text Summarization?,https://scholar.google.com/scholar?q=How+%28Un%29Fair+is+Text+Summarization%3F,https://arxiv.org/search/?query=How+%28Un%29Fair+is+Text+Summarization%3F&searchtype=all
40,Teaching Algorithmic Reasoning via In-context Learning,https://scholar.google.com/scholar?q=Teaching+Algorithmic+Reasoning+via+In-context+Learning,https://arxiv.org/search/?query=Teaching+Algorithmic+Reasoning+via+In-context+Learning&searchtype=all
41,Towards a Unified View of Parameter-Efficient Transfer Learning,https://scholar.google.com/scholar?q=Towards+a+Unified+View+of+Parameter-Efficient+Transfer+Learning,https://arxiv.org/search/?query=Towards+a+Unified+View+of+Parameter-Efficient+Transfer+Learning&searchtype=all
42,Charformer: Fast Character Transformers via Gradient-based Subword Tokenization,https://scholar.google.com/scholar?q=Charformer%3A+Fast+Character+Transformers+via+Gradient-based+Subword+Tokenization,https://arxiv.org/search/?query=Charformer%3A+Fast+Character+Transformers+via+Gradient-based+Subword+Tokenization&searchtype=all
43,Pretrain Knowledge-Aware Language Models,https://scholar.google.com/scholar?q=Pretrain+Knowledge-Aware+Language+Models,https://arxiv.org/search/?query=Pretrain+Knowledge-Aware+Language+Models&searchtype=all
44,Contextual Temperature for Language Modeling,https://scholar.google.com/scholar?q=Contextual+Temperature+for+Language+Modeling,https://arxiv.org/search/?query=Contextual+Temperature+for+Language+Modeling&searchtype=all
45,Large Language Models Can Self-improve,https://scholar.google.com/scholar?q=Large+Language+Models+Can+Self-improve,https://arxiv.org/search/?query=Large+Language+Models+Can+Self-improve&searchtype=all
46,Transcormer: Transformer for Sentence Scoring with Sliding Language Modeling,https://scholar.google.com/scholar?q=Transcormer%3A+Transformer+for+Sentence+Scoring+with+Sliding+Language+Modeling,https://arxiv.org/search/?query=Transcormer%3A+Transformer+for+Sentence+Scoring+with+Sliding+Language+Modeling&searchtype=all
47,SpanDrop: Simple and Effective Counterfactual Learning for Long Sequences,https://scholar.google.com/scholar?q=SpanDrop%3A+Simple+and+Effective+Counterfactual+Learning+for+Long+Sequences,https://arxiv.org/search/?query=SpanDrop%3A+Simple+and+Effective+Counterfactual+Learning+for+Long+Sequences&searchtype=all
48,Leveraging Automated Unit Tests for Unsupervised Code Translation,https://scholar.google.com/scholar?q=Leveraging+Automated+Unit+Tests+for+Unsupervised+Code+Translation,https://arxiv.org/search/?query=Leveraging+Automated+Unit+Tests+for+Unsupervised+Code+Translation&searchtype=all
49,P-Adapters: Robustly Extracting Factual Information from Language Models with Diverse Prompts,https://scholar.google.com/scholar?q=P-Adapters%3A+Robustly+Extracting+Factual+Information+from+Language+Models+with+Diverse+Prompts,https://arxiv.org/search/?query=P-Adapters%3A+Robustly+Extracting+Factual+Information+from+Language+Models+with+Diverse+Prompts&searchtype=all
50,Finetuned Language Models are Zero-Shot Learners,https://scholar.google.com/scholar?q=Finetuned+Language+Models+are+Zero-Shot+Learners,https://arxiv.org/search/?query=Finetuned+Language+Models+are+Zero-Shot+Learners&searchtype=all
51,"Same Pre-training Loss, Better Downstream: Implicit Bias Matters for Language Models",https://scholar.google.com/scholar?q=Same+Pre-training+Loss%2C+Better+Downstream%3A+Implicit+Bias+Matters+for+Language+Models,https://arxiv.org/search/?query=Same+Pre-training+Loss%2C+Better+Downstream%3A+Implicit+Bias+Matters+for+Language+Models&searchtype=all
52,"Generate, Annotate, and Learn: Generative Models Advance Self-Training and Knowledge Distillation",https://scholar.google.com/scholar?q=Generate%2C+Annotate%2C+and+Learn%3A+Generative+Models+Advance+Self-Training+and+Knowledge+Distillation,https://arxiv.org/search/?query=Generate%2C+Annotate%2C+and+Learn%3A+Generative+Models+Advance+Self-Training+and+Knowledge+Distillation&searchtype=all
53,ULF: UNSUPERVISED LABELING FUNCTION CORRECTION USING CROSS-VALIDATION FOR WEAK SUPERVISION,https://scholar.google.com/scholar?q=ULF%3A+UNSUPERVISED+LABELING+FUNCTION+CORRECTION+USING+CROSS-VALIDATION+FOR+WEAK+SUPERVISION,https://arxiv.org/search/?query=ULF%3A+UNSUPERVISED+LABELING+FUNCTION+CORRECTION+USING+CROSS-VALIDATION+FOR+WEAK+SUPERVISION&searchtype=all
54,Pre-Trained Language Models for Interactive Decision-Making,https://scholar.google.com/scholar?q=Pre-Trained+Language+Models+for+Interactive+Decision-Making,https://arxiv.org/search/?query=Pre-Trained+Language+Models+for+Interactive+Decision-Making&searchtype=all
55,"Think Big, Teach Small: Do Language Models Distil Occam’s Razor?",https://scholar.google.com/scholar?q=Think+Big%2C+Teach+Small%3A+Do+Language+Models+Distil+Occam%E2%80%99s+Razor%3F,https://arxiv.org/search/?query=Think+Big%2C+Teach+Small%3A+Do+Language+Models+Distil+Occam%E2%80%99s+Razor%3F&searchtype=all
56,Human-Guided Fair Classification for Natural Language Processing,https://scholar.google.com/scholar?q=Human-Guided+Fair+Classification+for+Natural+Language+Processing,https://arxiv.org/search/?query=Human-Guided+Fair+Classification+for+Natural+Language+Processing&searchtype=all
57,CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,https://scholar.google.com/scholar?q=CodeGen%3A+An+Open+Large+Language+Model+for+Code+with+Multi-Turn+Program+Synthesis,https://arxiv.org/search/?query=CodeGen%3A+An+Open+Large+Language+Model+for+Code+with+Multi-Turn+Program+Synthesis&searchtype=all
58,Recursion of Thought: Divide and Conquer Reasoning with Language Models,https://scholar.google.com/scholar?q=Recursion+of+Thought%3A+Divide+and+Conquer+Reasoning+with+Language+Models,https://arxiv.org/search/?query=Recursion+of+Thought%3A+Divide+and+Conquer+Reasoning+with+Language+Models&searchtype=all
59,BertNet: Harvesting Knowledge Graphs from Pretrained Language Models,https://scholar.google.com/scholar?q=BertNet%3A+Harvesting+Knowledge+Graphs+from+Pretrained+Language+Models,https://arxiv.org/search/?query=BertNet%3A+Harvesting+Knowledge+Graphs+from+Pretrained+Language+Models&searchtype=all
60,ExT5: Towards Extreme Multi-Task Scaling for Transfer Learning,https://scholar.google.com/scholar?q=ExT5%3A+Towards+Extreme+Multi-Task+Scaling+for+Transfer+Learning,https://arxiv.org/search/?query=ExT5%3A+Towards+Extreme+Multi-Task+Scaling+for+Transfer+Learning&searchtype=all
61,Thrust: Adaptively Propels Large Language Models with External Knowledge,https://scholar.google.com/scholar?q=Thrust%3A+Adaptively+Propels+Large+Language+Models+with+External+Knowledge,https://arxiv.org/search/?query=Thrust%3A+Adaptively+Propels+Large+Language+Models+with+External+Knowledge&searchtype=all
62,Large Language Models are Human-Level Prompt Engineers,https://scholar.google.com/scholar?q=Large+Language+Models+are+Human-Level+Prompt+Engineers,https://arxiv.org/search/?query=Large+Language+Models+are+Human-Level+Prompt+Engineers&searchtype=all
63,Multitask Prompted Training Enables Zero-Shot Task Generalization,https://scholar.google.com/scholar?q=Multitask+Prompted+Training+Enables+Zero-Shot+Task+Generalization,https://arxiv.org/search/?query=Multitask+Prompted+Training+Enables+Zero-Shot+Task+Generalization&searchtype=all
64,Quantifying Exposure Bias for Open-ended Language Generation,https://scholar.google.com/scholar?q=Quantifying+Exposure+Bias+for+Open-ended+Language+Generation,https://arxiv.org/search/?query=Quantifying+Exposure+Bias+for+Open-ended+Language+Generation&searchtype=all
65,Differentiable Prompt Makes Pre-trained Language Models Better Few-shot Learners,https://scholar.google.com/scholar?q=Differentiable+Prompt+Makes+Pre-trained+Language+Models+Better+Few-shot+Learners,https://arxiv.org/search/?query=Differentiable+Prompt+Makes+Pre-trained+Language+Models+Better+Few-shot+Learners&searchtype=all
66,Self-Consistency Improves Chain of Thought Reasoning in Language Models,https://scholar.google.com/scholar?q=Self-Consistency+Improves+Chain+of+Thought+Reasoning+in+Language+Models,https://arxiv.org/search/?query=Self-Consistency+Improves+Chain+of+Thought+Reasoning+in+Language+Models&searchtype=all
67,Cramming: Training a language model on a single GPU in one day,https://scholar.google.com/scholar?q=Cramming%3A+Training+a+language+model+on+a+single+GPU+in+one+day,https://arxiv.org/search/?query=Cramming%3A+Training+a+language+model+on+a+single+GPU+in+one+day&searchtype=all
68,Mind the Gap: Assessing Temporal Generalization in Neural Language Models,https://scholar.google.com/scholar?q=Mind+the+Gap%3A+Assessing+Temporal+Generalization+in+Neural+Language+Models,https://arxiv.org/search/?query=Mind+the+Gap%3A+Assessing+Temporal+Generalization+in+Neural+Language+Models&searchtype=all
69,Overthinking the Truth: Understanding how Language Models process False Demonstrations,https://scholar.google.com/scholar?q=Overthinking+the+Truth%3A+Understanding+how+Language+Models+process+False+Demonstrations,https://arxiv.org/search/?query=Overthinking+the+Truth%3A+Understanding+how+Language+Models+process+False+Demonstrations&searchtype=all
70,Grad2Task: Improved Few-shot Text Classification Using Gradients for Task Representation,https://scholar.google.com/scholar?q=Grad2Task%3A+Improved+Few-shot+Text+Classification+Using+Gradients+for+Task+Representation,https://arxiv.org/search/?query=Grad2Task%3A+Improved+Few-shot+Text+Classification+Using+Gradients+for+Task+Representation&searchtype=all
71,Bidirectional Language Models Are Also Few-shot Learners,https://scholar.google.com/scholar?q=Bidirectional+Language+Models+Are+Also+Few-shot+Learners,https://arxiv.org/search/?query=Bidirectional+Language+Models+Are+Also+Few-shot+Learners&searchtype=all
72,LoRA: Low-Rank Adaptation of Large Language Models,https://scholar.google.com/scholar?q=LoRA%3A+Low-Rank+Adaptation+of+Large+Language+Models,https://arxiv.org/search/?query=LoRA%3A+Low-Rank+Adaptation+of+Large+Language+Models&searchtype=all
73,Knowledge Unlearning for Mitigating Privacy Risks in Language Models,https://scholar.google.com/scholar?q=Knowledge+Unlearning+for+Mitigating+Privacy+Risks+in+Language+Models,https://arxiv.org/search/?query=Knowledge+Unlearning+for+Mitigating+Privacy+Risks+in+Language+Models&searchtype=all
